CME_Time,Time_21.5,lat,lon,Ang_rad,V,Disturbance_Time,ICME_Start_Time,ICME_End_Time,V_ICME,V_max,B,MC,Time_Error,Good_Match
05/07/2022 04:24,05/07/2022 10:21,-24,27,42,514,2022/07/08 0200,08/07/2022 11:00,08/07/2022 19:00,400,410,10,1,-1 days +23:48:00,FALSE
15/07/2022 15:23,15/07/2022 23:33,21,12,41,539,2022/07/18 2119,19/07/2022 05:00,20/07/2022 11:00,440,490,10,2,-1 days +23:35:00,FALSE
16/08/2022 15:24,16/08/2022 21:04,-27,8,23,637,2022/08/19 1731,20/08/2022 08:00,20/08/2022 18:00,490,700,5,1,0 days 00:00:00,TRUE
07/09/2022 22:36,08/09/2022 12:07,-17,3,29,344,2022/09/12 0700,12/09/2022 07:00,12/09/2022 21:00,380,400,6,1,0 days 00:00:00,TRUE
30/12/2022 16:53,31/12/2022 00:31,-24,14,32,452,2023/01/03 2100,04/01/2023 02:00,05/01/2023 22:00,380,430,18,2,0 days 00:00:00,TRUE
25/02/2023 19:38,25/02/2023 23:23,10,48,58,920,2023/02/27 1000,27/02/2023 20:00,28/02/2023 17:00,650,820,10,0,0 days 00:14:00,FALSE
12/03/2023 19:24,12/03/2023 23:37,-38,-3,27,793,2023/03/15 0427,15/03/2023 21:00,17/03/2023 07:00,490,570,7,0,0 days 00:12:00,FALSE
21/04/2023 18:12,21/04/2023 21:09,-13,19,43,1204,2023/04/23 1738,24/04/2023 01:00,25/04/2023 19:00,520,680,17,2,0 days 00:00:00,TRUE
07/05/2023 23:12,08/05/2023 01:24,11,14,44,1494,2023/05/09 2250,10/05/2023 12:00,12/05/2023 06:00,550,660,6,0,0 days 00:00:00,TRUE
09/05/2023 19:00,09/05/2023 21:05,11,26,45,1651,2023/05/12 0633,12/05/2023 12:00,13/05/2023 21:00,480,580,7,0,0 days 00:00:00,TRUE
04/07/2023 04:36,04/07/2023 10:30,-22,-14,45,635,2023/07/07 1200,07/07/2023 12:00,08/07/2023 15:00,450,500,6,0,0 days 00:24:00,FALSE
24/07/2023 07:24,24/07/2023 10:01,52,-95,41,1185,2023/07/25 2233,26/07/2023 17:00,28/07/2023 11:00,460,570,7,0,0 days 16:18:00,FALSE
02/08/2023 09:12,02/08/2023 13:43,-4,26,42,759,2023/08/05 0255,05/08/2023 18:00,06/08/2023 14:00,350,440,8,1,0 days 00:00:00,TRUE
30/08/2023 22:12,31/08/2023 01:54,6,-7,45,729,2023/09/02 0434,02/09/2023 20:00,04/09/2023 00:00,490,720,7,0,0 days 00:12:00,FALSE
14/09/2023 07:24,14/09/2023 11:21,17,40,33,915,2023/09/17 0234,18/09/2023 02:00,19/09/2023 00:00,430,480,10,1,0 days 00:00:00,TRUE
16/09/2023 09:12,16/09/2023 16:00,2,30,45,523,2023/09/18 1331,19/09/2023 08:00,21/09/2023 10:00,510,640,6,0,0 days 00:00:00,TRUE
02/10/2023 18:24,03/10/2023 01:32,0,-20,29,467,2023/10/05 2225,06/10/2023 16:00,07/10/2023 18:00,370,490,6,0,0 days 00:00:00,TRUE
09/11/2023 12:23,09/11/2023 16:01,14,10,45,782,2023/11/12 0613,12/11/2023 12:00,13/11/2023 17:00,460,570,8,1,0 days 00:00:00,TRUE
