ICME,CME,-,Disturbance_Time,ICME_Start_Time,ICME_End_Time,V_ICME,V_max,B,MC,- ,CME_Time,Time_21.5,lat,lon,Ang_rad,V,cat
14/05/2019 06:00,10/05/2019 19:09,-,2019/05/13 2326,14/05/2019 06:00,15/05/2019 16:00,470,560,8,2,-,10/05/2019 19:09,11/05/2019 02:31,-5,10,24,471,M2M_CATALOG
16/05/2019 23:00,13/05/2019 16:09,-,2019/05/16 2100,16/05/2019 23:00,18/05/2019 08:00,450,480,6,1,-,13/05/2019 16:09,13/05/2019 21:49,-13,10,27,594,M2M_CATALOG
29/10/2019 20:00,25/10/2019 05:54,-,2019/10/29 2000,29/10/2019 20:00,30/10/2019 21:00,380,410,10,2,-,25/10/2019 05:54,25/10/2019 20:56,-5,3,17,262,M2M_CATALOG
20/04/2020 09:00,14/04/2020 21:54,-,2020/04/20 0231,20/04/2020 09:00,21/04/2020 04:00,330,360,15,2,-,14/04/2020 21:54,15/04/2020 15:51,-1,31,30,232,M2M_CATALOG
10/12/2020 23:00,07/12/2020 16:24,-,2020/12/10 0210,10/12/2020 23:00,13/12/2020 04:00,440,570,5,0,-,07/12/2020 16:24,07/12/2020 18:49,-21,12,41,1383,M2M_CATALOG
23/02/2021 08:00,20/02/2021 11:36,-,2021/02/23 0200,23/02/2021 08:00,24/02/2021 15:00,510,590,5,0,-,20/02/2021 11:36,20/02/2021 18:33,-18,-31,50,680,M2M_CATALOG
12/05/2021 15:00,09/05/2021 11:23,-,2021/05/12 0637,12/05/2021 15:00,14/05/2021 20:00,410,500,8,2,-,09/05/2021 11:23,09/05/2021 15:54,-4,-10,27,717,M2M_CATALOG
05/07/2021 04:00,29/06/2021 10:53,-,2021/07/05 0141,05/07/2021 04:00,06/07/2021 02:00,340,350,7,2,-,29/06/2021 10:53,29/06/2021 18:23,-1,-10,11,275,M2M_CATALOG
27/08/2021 12:00,23/08/2021 06:36,-,2021/08/27 0114,27/08/2021 12:00,28/08/2021 15:00,380,420,12,2,-,23/08/2021 06:36,23/08/2021 14:36,11,-1,35,393,M2M_CATALOG
27/09/2021 00:00,22/09/2021 07:53,-,2021/09/27 0000,27/09/2021 00:00,27/09/2021 21:00,390,400,10,2,-,22/09/2021 07:53,22/09/2021 19:33,-17,15,38,287,M2M_CATALOG
