ICME,CME,-,Disturbance_Time,ICME_Start_Time,ICME_End_Time,V_ICME,V_max,B,MC,- ,CME_Time,Time_21.5,lat,lon,Ang_rad,V,cat,tt_icme,v_eff
02/08/2016 14:00,28/07/2016 22:24,-,2016-08-02 14:00:00,2016-08-02 14:00:00,2016-08-03 03:00:00,420,460,20,2,-,2016-07-28 22:24:00,2016-07-29 08:50:00,7,10,45,350,M2M_CATALOG,4.215277777777778,369.64769357495885
13/10/2016 06:00,08/10/2016 21:09,-,2016-10-12 22:12:00,2016-10-13 06:00:00,2016-10-14 16:00:00,390,460,19,2,-,2016-10-08 21:09:00,2016-10-09 15:56:00,10,-22,37,243,M2M_CATALOG,3.5861111111111112,434.5006777691712
10/11/2016 00:00,05/11/2016 04:48,-,2016-11-09 06:04:00,2016-11-10 00:00:00,2016-11-10 16:00:00,360,370,11,2,-,2016-11-05 04:48:00,2016-11-05 12:17:00,23,26,35,487,M2M_CATALOG,4.488194444444445,347.17027696116355
27/05/2017 22:00,23/05/2017 05:00,-,2017-05-27 15:34:00,2017-05-27 22:00:00,2017-05-29 14:00:00,360,390,16,2,-,2017-05-23 05:00:00,2017-05-23 15:27:00,-7,12,26,375,M2M_CATALOG,4.272916666666666,364.661384690395
09/03/2018 22:00,05/03/2018 23:39,-,2018-03-09 18:09:00,2018-03-09 22:00:00,2018-03-11 00:00:00,410,450,14,2,-,2018-03-05 23:39:00,2018-03-06 09:54:00,-12,-12,29,386,M2M_CATALOG,3.5041666666666664,444.6614149821641
10/07/2018 12:00,05/07/2018 04:39,-,2018-07-10 12:00:00,2018-07-10 12:00:00,2018-07-11 11:00:00,330,360,9,2,-,2018-07-05 04:39:00,2018-07-05 22:56:00,-5,-10,22,260,M2M_CATALOG,4.544444444444444,342.8730898533007
25/08/2018 12:00,20/08/2018 21:24,-,2018-08-25 02:00:00,2018-08-25 12:00:00,2018-08-26 12:00:00,410,440,16,2,-,2018-08-20 21:24:00,2018-08-21 18:06:00,10,0,19,309,M2M_CATALOG,3.7458333333333336,415.9735817575083
29/10/2019 20:00,25/10/2019 05:54,-,2019-10-29 20:00:00,2019-10-29 20:00:00,2019-10-30 21:00:00,380,410,10,2,-,2019-10-25 05:54:00,2019-10-25 20:56:00,-5,3,17,262,M2M_CATALOG,3.9611111111111112,393.3663218793829
20/04/2020 09:00,14/04/2020 21:54,-,2020-04-20 02:31:00,2020-04-20 09:00:00,2020-04-21 04:00:00,330,360,15,2,-,2020-04-14 21:54:00,2020-04-15 15:51:00,-1,31,30,232,M2M_CATALOG,4.714583333333334,330.49955810870523
10/12/2020 23:00,07/12/2020 16:24,-,2020-12-10 02:10:00,2020-12-10 23:00:00,2020-12-13 04:00:00,440,570,5,0,-,2020-12-07 16:24:00,2020-12-07 18:49:00,-21,12,41,1383,M2M_CATALOG,3.1743055555555557,490.8688470794137
